Port,Header size,Header,Data size,Bit start,Bit end,Type,Field name,Field description,Group name,Group description,Category name,Category description,Access,Multiplier,Opt0,Val0,Opt1,Val1,Opt2,Val2,Opt3,Val3,Opt4,Val4,Opt5,Val5,Opt6,Val6,Opt7,Val7,Opt8,Val8
100,1,0x00,8,0,63,hexstring,device_eui,DevEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x01,8,0,63,hexstring,app_eui,AppEUI,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x02,16,0,127,hexstring,app_key,AppKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x03,4,0,31,hexstring,device_address,DevAddr,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x04,16,0,127,hexstring,network_session_key,NwkSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x05,16,0,127,hexstring,app_session_key,AppSKey,,,lorawan,LoRaWAN Commissioning Registers,R,1,,,,,,,,,,,,,,,,,,
100,1,0x10,2,7,7,unsigned,loramac_otaa,Join Mode,loramac_join_mode,LoRaMAC join mode,loramac,LoRaMAC Configuration Registers,RW,1,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,1,0x11,2,4,7,unsigned,loramac_confirm_mode,LoRaMAC class,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Class A ,0,Class C ,12,,,,,,,,,,,,,,
100,1,0x11,2,8,8,unsigned,loramac_networks,Unconfirmed/Confirmed UL,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,1,0x11,2,10,10,unsigned,loramac_duty_cycle,Disable/Enable Duty Cycle,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x11,2,11,11,unsigned,loramac_adr,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,1,0x12,2,0,3,unsigned,loramac_dr_number,Default DR number and TX power,loramac_dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x12,2,8,11,unsigned,loramac_tx_power,Default DR number and TX power,loramac_dr_tx_power,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x13,5,0,31,unsigned,loramac_rx2_frequency,Channel freq for RX2,loramac_rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x13,5,32,39,unsigned,loramac_rx2_dr,DR for RX2,loramac_rx2,LoRaMAC RX2,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x19,2,0,15,unsigned,loramac_net_id_msb,Net ID MSB,,,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x1A,2,0,15,unsigned,loramac_net_id_lsb,Net ID LSB,,,loramac,LoRaMAC Configuration Registers,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x20,4,0,31,unsigned,tick_seconds,Sets the core tick in seconds for periodic events,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x21,2,0,15,unsigned,tick_battery,Ticks between Battery reports,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x22,2,0,15,unsigned,tick_temperature,Ticks per Ambient Temperature,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x23,2,0,15,unsigned,tick_relative_humidity,Ticks per Ambient RH,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x24,2,0,15,unsigned,tick_light,Ticks per Ambient Light,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x25,2,0,15,unsigned,tick_input1,Ticks per Input 1 (Soil Moisture),,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x26,2,0,15,unsigned,tick_input2,Ticks per Input 2 (Soil Temperature),,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x27,2,0,15,unsigned,tick_input5,Ticks per Input 5 (Soil Water Tension),,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x28,2,0,15,unsigned,tick_acceleration,Ticks per Accelerometer,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x29,2,0,15,unsigned,tick_mcu_temp,Ticks per MCU Temperature,,,ticks_config,Ticks Configuration for Periodic Tx,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x30,4,0,31,unsigned,temperature_relative_humidity_idle,Sample period of Ambient Temperature/RH in sec in Idle State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x31,4,0,31,unsigned,temperature_relative_humidity_active,Sample period of Ambient Temperature/RH in sec in Active State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x32,2,0,7,signed,temperature_high_threshold,High temperature threshold,amb_temp_threshold,Ambient temperature thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x32,2,8,15,signed,temperature_low_threshold,Low temperature threshold,amb_temp_threshold,Ambient temperature thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x33,1,0,0,unsigned,temperature_threshold_enable,Ambient Temperature Threshold Enabled,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x34,2,0,7,unsigned,relative_humidity_high_threshold,High RH threshold,amb_rh_threshold,Ambient RH Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x34,2,8,15,unsigned,relative_humidity_low_threshold,Low RH threshold,amb_rh_threshold,Ambient RH Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x35,1,0,0,unsigned,relative_humidity_threshold_enable,RH Threshold Enabled,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x36,4,0,31,unsigned,input12_sample_period_idle,Sample period of Input 1/Input 2 in sec in Idle State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x37,4,0,31,unsigned,input12_sample_period_active,Sample period of Input 1/Input 2 in sec in Active State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x38,4,0,15,unsigned,input1_frequency_high_threshold,High frequency threshold,input1_threshold,Input 1 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x38,4,16,31,unsigned,input1_frequency_low_threshold,Low frequency threshold,input1_threshold,Input 1 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x39,1,0,0,unsigned,input1_threshold_enable,Input 1 Threshold Enabled,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x3A,4,0,15,unsigned,input2_voltage_high_threshold,"High temperature threshold, mV",input2_threshold,Input 2 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3A,4,16,31,unsigned,input2_voltage_low_threshold,"Low temperature threshold, mV",input2_threshold,Input 2 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3B,1,0,0,unsigned,input2_threshold_enable,Input 2 Threshold Enabled,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x3C,4,0,31,unsigned,input5_sample_period_idle,Sample period of Input 5 in sec in Idle State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3D,4,0,31,unsigned,input5_sample_period_active,Sample period of Input 5 in sec in Active State,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3E,4,0,15,unsigned,input5_frequency_high_threshold,High count/ms threshold,input5_threshold,Input 1 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3E,4,16,31,unsigned,input5_frequency_low_threshold,Low count/ms threshold,input5_threshold,Input 1 Thresholds,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x3F,1,0,0,unsigned,input5_threshold_enable,Input 5 Threshold Enabled,,,threshold_tx_cfg,Threshold-Based Transmission Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x40,4,0,31,unsigned,mcu_temperature_sample_period_idle,Sample rate of MCU Temperature in seconds in Idle State,,,mcu_temp,MCU Temperature,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x41,4,0,31,unsigned,mcu_temperature_sample_period_active,Sample rate of MCU Temperature in seconds in Active State,,,mcu_temp,MCU Temperature,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x42,2,0,7,unsigned,mcu_temperature_high_threshold,High MCU temperature threshold,mcu_temp_threshold,MCU temperature thresholds,mcu_temp,MCU Temperature,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x42,2,8,15,unsigned,mcu_temperature_low_threshold,Low MCU temperature threshold,mcu_temp_threshold,MCU temperature thresholds,mcu_temp,MCU Temperature,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x43,1,0,0,unsigned,mcu_temp_threshold_enable,MCU temperature threshold,,,mcu_temp,MCU Temperature,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x48,1,0,0,unsigned,light_interrupt_enabled,Interrupt,,,als_cfg,Ambient Light Sensor Configuration,RW,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,1,0x49,4,0,31,unsigned,light_intencity_high_threshold,Ambient Light Sensor Upper Threshold,,,als_cfg,Ambient Light Sensor Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x4A,4,0,31,unsigned,light_intencity_low_threshold,Ambient Light Sensor Lower Threshold,,,als_cfg,Ambient Light Sensor Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x4B,1,0,7,unsigned,light_threshold_timer,Threshold Timer (100ms),,,als_cfg,Ambient Light Sensor Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x4C,4,0,31,unsigned,light_sample_period_active,Ambient Light Sample Period in Active State,,,als_cfg,Ambient Light Sensor Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x4D,1,0,0,unsigned,light_alarm,Light alarm,als_values_tx,Values to transmit,als_cfg,Ambient Light Sensor Configuration,RW,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,1,0x4D,1,0,0,unsigned,light_intensity,Light intensity,als_values_tx,Values to transmit,als_cfg,Ambient Light Sensor Configuration,RW,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,1,0x50,1,0,0,unsigned,acceleration_impact_threshold_enable,Impact threshold,accel_mode,Accelerometer mode,accel_cfg,Accelerometer Configuration,RW,1,Off,0,On,1,,,,,,,,,,,,,,
100,1,0x50,1,7,7,unsigned,acceleration_sensor_enable,Accelerometer power,accel_mode,Accelerometer mode,accel_cfg,Accelerometer Configuration,RW,1,Off,0,On,1,,,,,,,,,,,,,,
100,1,0x51,1,0,1,unsigned,acceleration_measurement_range,Measurement range,,,accel_cfg,Accelerometer Configuration,RW,1,±2 g,0,±4 g,1,±8 g,2,±16 g,3,,,,,,,,,,
100,1,0x52,1,0,2,unsigned,acceleration_sample_rate,Accelerometer sample rate,,,accel_cfg,Accelerometer Configuration,RW,1,1 Hz ,1,10 Hz,2,25 Hz ,3,50 Hz,4,100 Hz,5,200 Hz,6,400 Hz,7,,,,
100,1,0x53,2,0,15,unsigned,acceleration_impact_threshold,Imapct Threshold (1 milli-g),,,accel_cfg,Accelerometer Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x54,2,0,15,unsigned,acceleration_impact_debounce_time,Downtime between impact alarms,,,accel_cfg,Accelerometer Configuration,RW,1,,,,,,,,,,,,,,,,,,
100,1,0x55,1,0,0,unsigned,acceleration_report_alarm,Impact alarm,accel_values_tx,Values to transmit,accel_cfg,Accelerometer Configuration,RW,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,1,0x55,1,1,1,unsigned,acceleration_report_magnitude,Magnitude,accel_values_tx,Values to transmit,accel_cfg,Accelerometer Configuration,RW,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,1,0x55,1,2,2,unsigned,acceleration_report_full_precision,Full-precision data,accel_values_tx,Values to transmit,accel_cfg,Accelerometer Configuration,RW,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,1,0x70,2,5,5,unsigned,app_configuration,Write App Config,write_to_flash,Configure sensor,sensor_cmd_ctrl_reg,Sensor Command & Control Register,W,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,1,0x70,2,6,6,unsigned,lora_configuration,Write LoRa Config,write_to_flash,Configure sensor,sensor_cmd_ctrl_reg,Sensor Command & Control Register,W,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,1,0x70,2,8,8,unsigned,restart_sensor,Restart Sensor,write_to_flash,Configure sensor,sensor_cmd_ctrl_reg,Sensor Command & Control Register,W,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,1,0x71,7,0,7,unsigned,app_major_version,App Major,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,8,15,unsigned,app_minor_version,App Minor,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,16,23,unsigned,app_revision,App Revision,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,24,31,unsigned,loramac_major_version,LoRaMAC Major,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,32,39,unsigned,loramac_minor_version,LoRaMAC Minor,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,40,47,unsigned,loramac_revision,LoRaMAC Revision,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,,,,,,,,,,,,,,,,,,
100,1,0x71,7,48,55,unsigned,region,Region,firmware_version,Firmware version,sensor_cmd_ctrl_reg,Sensor Command & Control Register,R,1,EU868,0,US916,1,AS923,2,AU915,3,IN865,4,CN470,5,KR920,6,RU864,7,DN915,8
100,1,0x72,1,0,7,unsigned,configuration_factory_reset,Factory reset,,,sensor_cmd_ctrl_reg,Sensor Command & Control Register,W,1,App Config,10,LoRa Config,176,App & LoRa Config,186,,,,,,,,,,,,
